qid	link	text
qa_100	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14226389159	抗がん剤治療をしています。 3週間に一回の点滴のFEC治療で、乳がんです。 4ク
qa_101	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13228762188	抗がん剤副作用 脱毛について どんな癌でどの抗癌剤を使うのかにより、頭髪が絶対抜
qa_103	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14222295684	1か月前、急性骨髄球性白血病と診断され、治療を始めました。 抗がん剤治療を行って
qa_104	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13184670658	抗がん剤 抜け毛について   私の母(69歳)が濾胞性リンパ腫ステージ4になりま
qa_106	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10191394610	医療用ウィッグ 母が3年前の2月ごろに乳癌が発覚し同じ年に抗がん剤治療の副作用で
qa_107	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12212724872	悪性リンパ腫で今抗がん剤治療をしています。 昨日からパラパラ髪が抜けるようになり
qa_108	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10227564190	昨年、抗がん剤治療をし脱毛後。   今年、髪の毛がはえてきたのですが  もともと
qa_109	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11223405841	抗がん剤治療について 49歳、女性です。 乳癌で手術して、抗がん剤治療5回終わり
qa_110	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14185844884	先週から、乳癌のホルモン剤のエキセメスタン錠服用開始しました。 病院からは、脱毛
qa_111	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13222250473	抗がん剤は髪の毛が抜ける副作用があると言います。  もし自分が癌になって抗がん剤
qa_112	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10228548100	急性白血病で急遽治療をすることになったのですが、軽く調べてみると抗がん剤治療を主
qa_113	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13227257453	眉毛がうすくなりました。  抗がん剤で眉毛なくなりましたが治療が終わり眉毛6割ぐ
qa_115	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12228966182	乳がんの抗がん剤治療でまつ毛が全て抜けてしまいました。 抗がん剤終了から、何ヶ月
qa_119	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13227761963	抗がん剤で髪の毛抜けるのって毛根から抜けないんですか？それとも途中でちぎれるので
qa_120	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13225941428	ガンの抗がん剤治療って頭皮の毛だけ抜けるのか全身の毛が抜けるのか気になります  
qa_123	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11199397031	私の父は、がんの治療中です。  大腸がんが分かり、手術でがんを取り、抗がん剤をし
qa_125	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13222273073	抗がん剤の副作用があまりにも辛く、生活に支障をきたしていると感じます。 がんの摘
qa_129	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11185057946	プエラリアミリフィカのサプリメントを1年近く副作してた場合なんですけど、よく女性
qa_130	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14195235199	抗がん剤の副作用で 脚の浮腫がすごいです。 どの靴下もゴムが痛いです。  同じよ
qa_131	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12201591782	抗がん剤治療の副作用でおこるしびれは改善できますか？  私の妹が、乳がんで抗がん
qa_132	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11227010481	ドセタキセルの副作用しびれについて   ６６歳の母親が肺腺癌で抗がん剤治療中です
